"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
487073469;"23/01/2011";1;;;300;2;;1;7.94;21011;"23/01/2011";1;SP;CORONEL JOAQUIM ROSA;CENTRO;BATATAIS;"14300000"
487073470;"23/01/2011";1;;;203;2;;4;116.06;141207;"23/01/2011";0;SP;IMBUIAS, DAS;JD S PAULO;AMERICANA;"13468090"
487073471;"23/01/2011";1;;;178;2;;4;91.33;152806;"23/01/2011";1;SP;AVENIDA DO ANASTÁCIO;C AMÉRICA;SÃO PAULO;"05119000"
487073472;"23/01/2011";1;;;96;2;;4;94.45;106712;"23/01/2011";1;SP;RODOVIA RAPOSO TAVARES;GRANJA VIANA;COTIA;"06709015"
487073473;"23/01/2011";1;;;355;2;;1;13.48;2068;"23/01/2011";0;SP;PROF LUCAS NOGUEIRA GARCEZ;JD PAULISTA;ATIBAIA;"12947000"
487073476;"23/01/2011";1;;;58;2;;4;40.99;296774;"23/01/2011";1;SP;AVENIDA DOUTOR VITAL BRASIL;BUTANTÃ;SÃO PAULO;"05503000"
487073477;"23/01/2011";1;;;23;2;;1;3.91;45444;"23/01/2011";1;SP;RUA HEITOR PENTEADO;SUMAREZINHO;SÃO PAULO;"05438300"
487073479;"23/01/2011";1;;;88;2;;1;9.27;13448;"23/01/2011";1;RJ;AV NOSSA SRA COPACABANA;COPACABANA;RIO DE JANEIRO;"22060001"
487073480;"23/01/2011";1;;;135;2;;5;4.9;8245;"28/01/2011";1;SP;ESTRADA ALDEIA;GJA VIANA;COTIA;"06709300"
487073483;"23/01/2011";1;;;234;2;;1;13.54;93595;"23/01/2011";0;RJ;BRIGADEIRO  LIMA E SILVA;JD 25 DE AGOSTO;DUQUE DE CAXIAS;"25071181"
487073486;"23/01/2011";1;;;23;2;;4;18.9;77573;"23/01/2011";1;SP;RUA HEITOR PENTEADO;SUMAREZINHO;SÃO PAULO;"05438300"
487073488;"23/01/2011";1;;;204;2;;1;8.51;209640;"23/01/2011";1;SP;AVENIDA PRESIDENTE VARGAS;C NOVA;FRANCA;"14401120"
487073489;"23/01/2011";1;;;88;2;;1;10.08;13449;"23/01/2011";1;RJ;AV NOSSA SRA COPACABANA;COPACABANA;RIO DE JANEIRO;"22060001"
487073491;"23/01/2011";1;;;96;2;;5;12.15;106713;"23/01/2011";1;SP;RODOVIA RAPOSO TAVARES;GRANJA VIANA;COTIA;"06709015"
487073492;"23/01/2011";1;;;234;2;;1;16.29;162877;"23/01/2011";0;RJ;BRIGADEIRO  LIMA E SILVA;JD 25 DE AGOSTO;DUQUE DE CAXIAS;"25071181"
487073493;"23/01/2011";1;;;82;2;;1;20.45;14505;"23/01/2011";0;SP;AVENIDA BENEDITO ANDRADE;VL P BARRETO;SÃO PAULO;"02936000"
487073494;"23/01/2011";1;;;178;2;;1;17.08;152807;"23/01/2011";1;SP;AVENIDA DO ANASTÁCIO;C AMÉRICA;SÃO PAULO;"05119000"
487073498;"23/01/2011";1;;;86;2;;4;283.34;46152;"23/01/2011";1;RJ;R VISCONDE DE PIRAJA;IPANEMA;RIO DE JANEIRO;"22410001"
487073499;"23/01/2011";1;;;28;2;;5;63.58;16151;"23/01/2011";0;SP;AV. MAR FLORIANO PEIXOTO;GONZAGA;SANTOS;"11060300"
487073501;"23/01/2011";1;;;242;2;;1;4.9;124458;"23/01/2011";0;SP;"29 DE AGOSTO";CENTRO;LEME;"13610210"
487073502;"23/01/2011";1;;;208;2;;4;20.4;124447;"23/01/2011";0;MG;RUA PITANGUI;S FAMÍLIA;BELO HORIZONTE;"31030204"
487073503;"23/01/2011";1;;;82;2;;4;61.07;14506;"23/01/2011";0;SP;AVENIDA BENEDITO ANDRADE;VL P BARRETO;SÃO PAULO;"02936000"
487073507;"23/01/2011";1;;;133;2;;1;1.99;35737;"23/01/2011";1;SP;RUA VOLUNTÁRIOS DA PÁTRIA;SANTANA;SÃO PAULO;"02401400"
487073509;"23/01/2011";1;;;346;2;;1;30.01;5899;"23/01/2011";0;SP;OLIVEIRA ALVES;IPIRANGA;SÃO PAULO;"04210061"
487073510;"23/01/2011";1;;;136;2;;1;10.86;16580;"23/01/2011";0;SP;BARAO DO RIO BRANCO;CENTRO;PRESIDENTE PRUDENTE;"19010000"
487073515;"23/01/2011";1;;;346;2;;1;4.99;5900;"23/01/2011";0;SP;OLIVEIRA ALVES;IPIRANGA;SÃO PAULO;"04210061"
487073516;"23/01/2011";1;;;301;2;;1;80.89;22322;"23/01/2011";0;SP;AVENIDA CHARLES SCHNNEIDER;PRQ SR BONFIM;TAUBATÉ;"12040000"
487073519;"23/01/2011";1;;;136;2;;1;25.6;22528;"23/01/2011";0;SP;BARAO DO RIO BRANCO;CENTRO;PRESIDENTE PRUDENTE;"19010000"
487073521;"23/01/2011";1;;;55;2;;6;24.59;12197;"21/02/2011";0;SP;AV GUILHERME COTCHING;VILA MARIA;SAO PAULO;"02113013"
487073522;"23/01/2011";1;;;121;2;;5;40.58;73242;"23/01/2011";0;PR;RUA AUGUSTO STRESSER;JUVEVÊ;CURITIBA;"80040310"
